,"Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP)","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).1","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).2","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).3","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).4","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).5","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).6","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).7","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).8","Codes:  ISO ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)  ANSI 2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2)  USPS 2-letter codes used by the United States Postal Service  USCG 2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG) Abbreviations:  GPO Older variable-length official US Government Printing Office abbreviations  AP Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP).9"
0,Codes:,Codes:,,,,,,,,
1,ISO,"ISO 3166 codes (2-letter, 3-letter, and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)",,,,,,,,
2,ANSI,2-letter and 2-digit codes from the ANSI standard INCITS 38:2009 (supersedes FIPS 5-2),,,,,,,,
3,USPS,2-letter codes used by the United States Postal Service,,,,,,,,
4,USCG,2-letter codes used by the United States Coast Guard (bold red text shows differences between ANSI and USCG),,,,,,,,
5,Abbreviations:,Abbreviations:,,,,,,,,
6,GPO,Older variable-length official US Government Printing Office abbreviations,,,,,,,,
7,AP,Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP),Abbreviations from the AP Stylebook (bold red text shows differences between GPO and AP),,,,,,,
8,Name and status of region,Name and status of region,ISO,ANSI,ANSI,USPS,USCG,GPO,AP,Other abbreviations
9,,,,,,,,GPO,AP,Other abbreviations
10,United States of America,Federal state,".mw-parser-output .monospaced{font-family:monospace,monospace}US USA 840",US,00,,,U.S.,U.S.,U.S.A.
11,Alabama,State,US-AL,AL,01,AL,AL,Ala.,Ala.,
12,Alaska,State,US-AK,AK,02,AK,AK,Alaska,Alaska,Ak.[1]
13,Arizona,State,US-AZ,AZ,04,AZ,AZ,Ariz.,Ariz.,
14,Arkansas,State,US-AR,AR,05,AR,AR,Ark.,Ark.,
15,California,State,US-CA,CA,06,CA,CF,Calif.,Calif.,Cal.
16,Colorado,State,US-CO,CO,08,CO,CL,Colo.,Colo.,
17,Connecticut,State,US-CT,CT,09,CT,CT,Conn.,Conn.,
18,Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,
19,District of Columbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Dis. Col.[2]
20,Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,
21,Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.[1]
22,Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,Hi.[1]
23,Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,Ida.[1]
24,Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,
25,Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,
26,Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,Ioa.[a]
27,Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,Ka.
28,Kentucky,State,US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent.[b]"
29,Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,
30,Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,
31,Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,"Mar., Mary."
32,Massachusetts,State,US-MA,MA,25,MA,MS,Mass.,Mass.,
33,Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,
34,Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,
35,Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,
36,Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,
37,Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,
38,Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,
39,Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,
40,New Hampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,
41,New Jersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N. Jersey[2]
42,New Mexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,"New M., New Mex."
43,New York,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York[2]
44,North Carolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.
45,North Dakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,
46,Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,"O.,[3] Oh.[1]"
47,Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,
48,Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,
49,Pennsylvania,State,US-PA,PA,42,PA,PA,Pa.,Pa.,"Penn.,[1] Penna.[4]"
50,Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.,R.I. & P.P.
51,South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.
52,South Dakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak
53,Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,
54,Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,
55,Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.[1]
56,Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,Verm.[5]
57,Virginia,State,US-VA,VA,51,VA,VA,Va.,Va.,Virg.
58,Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,Wn.[6]
